Disease_Association,Most_Haploinsufficient_gene,dNdS1,dNdS2,dNdS_diff
Recessive.Unknown,C,0.0014,0.0033,0.0019
Unknown.None,C,0,0.0016,0.0016
None.Unknown,C,0.0021,0.0032,0.0011
Both.Unknown,C,0.003,0.0034,0.0004
Unknown.Dominant,D,0,0.0029,0.0029
Unknown.Unknown,C,0.0012,0.0024,0.0012
Unknown.Unknown,D,0.0077,0.0082,0.0005
Recessive.None,C,0.0014,0.0147,0.0133
Unknown.Unknown,C,0.0025,0.006,0.0035
Recessive.Recessive,C,0.0029,0.0087,0.0058
Unknown.Unknown,C,0.0025,0.0029,0.0004
None.None,C,0,0.0367,0.0367
Recessive.Both,D,0.0047,0.0408,0.0361
Unknown.Unknown,C,0,0.0037,0.0037
None.Unknown,D,0,0.0018,0.0018
Dominant.Dominant,C,0,0.0009,0.0009
Unknown.Unknown,C,0,0.0502,0.0502
Unknown.Unknown,C,0.0005,0.0229,0.0224
Unknown.Unknown,C,0,0.0039,0.0039
Dominant.Unknown,C,0.0012,0.0013,0.0001
None.Unknown,D,0,0.0027,0.0027
None.Unknown,C,0.0013,0.0023,0.001
Unknown.Unknown,D,0,0.0374,0.0374
