Virus_Association,Most_Haploinsufficient_gene,Introgression,node_type,dNdS
4.2,C,HSS.HSS,critical.intermittent,0.0.0024
4.1,C,HSS.HSS,intermittent.redundant,0.0033.0.0081
4.4,C,HSS.HSS,intermittent.redundant,0.0018.0.0079
3.2,D,HSS.HSS,critical.redundant,0.0008.0.0053
4.3,D,HSS.HSS,redundant.intermittent,0.0041.0.0194
3.3,D,HSS.HSS,redundant.redundant,0.0008.0.0009
4.4,D,HSS.HSS,redundant.redundant,0.005.0.0248
3.1,D,HSS.HSS,redundant.redundant,0.0048.0.0097
4.2,C,HSS.HSS,redundant.redundant,0.0.0035
4.4,D,HSS.HSS,intermittent.redundant,0.0006.0.0022
4.3,C,HSS.HSS,redundant.intermittent,0.0.0102
4.4,C,HSS.HSS,redundant.redundant,0.0043.0.013
4.4,C,HSS.HSS,intermittent.redundant,0.0.0026
4.4,D,HSS.HSS,critical.redundant,0.0034.0.0053
3.1,C,HSS.HSS,redundant.critical,0.0.0054
3.4,D,HSS.HSS,intermittent.redundant,0.0063.0.0364
3.4,C,HSS.HSS,intermittent.redundant,0.0009.0.0034
4.1,C,HSS.Strict,redundant.redundant,0.0014.0.003
4.4,D,HSS.HSS,intermittent.redundant,0.0044.0.0118
2.4,C,HSS.Intermediate,critical.redundant,0.0012.0.0218
2.3,C,HSS.HSS,redundant.redundant,0.003.0.0046
4.1,C,HSS.HSS,redundant.intermittent,0.0004.0.0008
4.3,C,HSS.HSS,redundant.intermittent,0.0.0088
4.1,C,HSS.HSS,redundant.redundant,0.0.0016
4.3,D,HSS.HSS,redundant.redundant,0.0.0012
4.3,D,HSS.HSS,redundant.redundant,0.0029.0.027
1.4,NA,HSS.HSS,critical.redundant,0.0.0095
4.4,C,HSS.HSS,redundant.redundant,0.0013.0.0018
4.4,C,HSS.HSS,redundant.redundant,0.0009.0.0026
4.4,C,HSS.HSS,redundant.redundant,0.0014.0.0068
3.1,D,HSS.HSS,critical.redundant,0.0008.0.0021
4.2,C,HSS.HSS,redundant.redundant,0.0053.0.3332
1.3,D,HSS.HSS,intermittent.redundant,0.0027.0.0122
4.4,D,HSS.HSS,redundant.redundant,0.0023.0.0024
4.4,C,HSS.HSS,redundant.redundant,0.0038.0.0102
4.4,D,HSS.HSS,redundant.redundant,0.0.0011
4.4,D,HSS.HSS,intermittent.redundant,0.0016.0.0028
4.3,C,HSS.HSS,redundant.redundant,0.0037.0.01
4.4,C,HSS.HSS,redundant.intermittent,0.0069.0.0184
4.4,C,HSS.HSS,redundant.redundant,0.0011.0.002
2.3,D,HSS.HSS,redundant.redundant,0.0004.0.0005
4.4,C,HSS.HSS,redundant.intermittent,0.0.0007
4.4,C,HSS.HSS,redundant.redundant,0.0061.0.0112
3.4,C,HSS.HSS,intermittent.redundant,0.0009.0.0082
1.4,D,HSS.HSS,redundant.redundant,0.0009.0.0013
4.4,D,HSS.HSS,redundant.redundant,0.001.0.0017
4.4,C,HSS.HSS,redundant.redundant,0.0011.0.0027
4.1,D,HSS.HSS,critical.redundant,0.0.002
3.4,C,HSS.HSS,intermittent.redundant,0.0.0016
4.4,C,HSS.Strict,redundant.redundant,0.0008.0.002
4.4,C,HSS.HSS,redundant.redundant,0.0006.0.0013
