Family_number,Family_Root,Number_of_members,DNA,RNA,Multi,None,Total_VIP,Num_Critical
1506,LECA,3,0,0,0,3,0,0
1510,Euteleostomi,2,0,0,0,2,0,0
1511,Opisthokonta,3,0,1,1,1,2,0
1514,Bilateria,3,0,0,0,3,0,0
1518,Euteleostomi,5,0,3,0,2,3,0
152,Euteleostomi,2,0,0,1,1,1,0
1520,Bilateria,2,1,0,0,1,1,0
1521,Bilateria,13,2,3,1,7,6,0
1523,LECA,6,1,1,2,2,4,1
1524,Chordata,3,0,0,0,3,0,0
1525,LECA,2,1,0,0,1,1,0
15262,Simiiformes,2,0,0,0,2,0,0
1527,Chordata,11,2,4,0,5,6,1
1528,Vertebrata,2,1,0,0,1,1,0
1529,Gnathostomata,2,0,0,0,2,0,0
1532,LECA,2,1,1,0,0,2,1
1533,LECA,5,2,1,0,2,3,0
1534,Chordata,3,0,1,0,2,1,0
1536,Bilateria,6,0,1,1,4,2,0
1537,Gnathostomata,2,0,0,2,0,2,0
1541,LECA,3,1,1,0,1,2,0
1547,Opisthokonta,3,0,0,0,3,0,0
1549,LECA,3,1,0,1,1,2,0
155,LECA,5,0,0,3,2,3,1
1550,LECA,5,0,1,0,4,1,0
1551,Bilateria,6,1,1,1,3,3,1
1555,Gnathostomata,3,0,0,0,3,0,0
1556,LECA,11,0,2,0,9,2,0
1557,LECA,3,0,1,2,0,3,0
1559,LECA,2,0,0,1,1,1,1
1560,LECA,2,0,1,0,1,1,0
1562,LECA,4,0,1,1,2,2,0
1564,Bilateria,14,1,0,0,13,1,0
1565,Bilateria,5,0,0,1,4,1,0
1568,Bilateria,8,0,0,2,6,2,1
157,LECA,4,0,0,1,3,1,0
1570,LECA,3,0,1,1,1,2,0
1574,LECA,8,0,1,0,7,1,0
1575,Vertebrata,3,1,1,0,1,2,0
1576,Bilateria,6,2,0,0,4,2,0
1577,LECA,2,0,0,0,2,0,0
1578,LECA,2,1,0,0,1,1,0
158,Opisthokonta,6,2,0,0,4,2,0
1581,Bilateria,5,2,1,1,1,4,0
1583,Bilateria,2,0,0,1,1,1,0
1587,LECA,6,0,2,0,4,2,0
1589,Opisthokonta,7,1,0,3,3,4,0
159,LECA,3,0,2,1,0,3,0
1591,Opisthokonta,4,2,0,0,2,2,0
1598,Opisthokonta,3,0,1,1,1,2,0
16,Euteleostomi,2,1,0,0,1,1,0
160,Bilateria,4,0,0,0,4,0,0
1606,Opisthokonta,11,0,4,0,7,4,1
161,LECA,2,0,0,0,2,0,0
1612,LECA,7,0,1,1,5,2,0
1613,Chordata,3,1,0,2,0,3,0
1615,LECA,4,0,0,1,3,1,0
1617,Bilateria,5,1,0,1,3,2,0
1625,LECA,6,0,2,1,3,3,0
1626,Gnathostomata,2,0,0,1,1,1,0
1628,Bilateria,7,2,0,0,5,2,0
1629,LECA,5,0,0,2,3,2,1
163,Chordata,4,0,1,1,2,2,1
1630,Vertebrata,3,0,0,1,2,1,1
1635,LECA,4,1,0,1,2,2,1
1637,Opisthokonta,4,0,0,1,3,1,0
1639,Bilateria,7,3,0,0,4,3,1
1640,LECA,5,0,0,1,4,1,0
1641,Bilateria,4,0,0,0,4,0,0
1642,Bilateria,5,1,1,0,3,2,0
1643,LECA,2,0,0,1,1,1,0
1646,Bilateria,31,2,5,2,22,9,2
1648,LECA,3,0,0,0,3,0,0
1649,LECA,3,0,0,1,2,1,0
165,LECA,19,1,2,3,13,6,0
1650,Vertebrata,2,0,0,0,2,0,0
1651,LECA,11,2,2,0,7,4,1
1652,Vertebrata,2,0,0,0,2,0,0
1654,LECA,7,2,1,1,3,4,0
1656,Vertebrata,12,1,0,3,8,4,0
166,Bilateria,5,1,0,0,4,1,0
1660,LECA,4,0,1,0,3,1,0
1662,LECA,9,1,2,1,5,4,0
1668,Chordata,3,0,0,1,2,1,0
167,LECA,11,5,1,0,5,6,0
1674,Vertebrata,3,1,1,0,1,2,0
16749,Gnathostomata,4,0,0,0,4,0,0
1678,Opisthokonta,2,0,0,0,2,0,0
168,LECA,6,1,2,0,3,3,0
1685,LECA,7,1,0,0,6,1,0
1686,LECA,13,1,2,1,9,4,1
16861,Hominoidea,2,1,0,0,1,1,0
1687,LECA,2,0,1,0,1,1,0
169,LECA,8,4,1,2,1,7,1
1690,LECA,3,0,1,1,1,2,0
1691,LECA,2,0,0,0,2,0,0
1694,Gnathostomata,12,0,1,1,10,2,0
1696,LECA,9,1,1,3,4,5,0
17,LECA,6,1,0,1,4,2,0
170,LECA,18,0,0,14,4,14,1
1700,Opisthokonta,7,1,0,3,3,4,0
1701,LECA,3,0,1,0,2,1,0
1702,LECA,2,0,1,0,1,1,0
1703,Amniota,2,0,0,0,2,0,0
1705,LECA,7,1,1,1,4,3,0
1706,Bilateria,6,1,0,0,5,1,0
171,Bilateria,3,0,0,0,3,0,0
1710,LECA,9,1,0,5,3,6,1
1714,Chordata,3,0,0,1,2,1,0
1717,LECA,5,0,1,1,3,2,0
1718,LECA,10,2,2,2,4,6,0
1719,LECA,2,0,0,0,2,0,0
172,LECA,9,0,2,2,5,4,1
1721,LECA,4,0,1,0,3,1,1
1725,Vertebrata,5,1,0,1,3,2,0
1727,LECA,19,2,2,3,12,7,0
1728,Vertebrata,3,0,0,0,3,0,0
1731,Bilateria,5,0,0,1,4,1,0
1738,Chordata,3,1,1,1,0,3,1
1745,LECA,19,1,2,4,12,7,0
1746,LECA,2,0,1,1,0,2,0
1747,LECA,6,2,0,2,2,4,0
1748,Bilateria,2,0,0,1,1,1,0
1750,Opisthokonta,2,0,0,0,2,0,0
1752,LECA,2,0,0,0,2,0,1
17534,Bilateria,2,0,1,0,1,1,0
1755,LECA,4,0,1,0,3,1,0
1756,LECA,3,1,0,0,2,1,0
17563,Catarrhini,2,0,1,1,0,2,0
176,Vertebrata,4,1,1,0,2,2,1
1760,Vertebrata,2,1,0,0,1,1,1
1762,LECA,2,0,1,0,1,1,0
1766,Vertebrata,2,1,0,1,0,2,1
1773,LECA,3,0,0,1,2,1,0
1777,LECA,3,1,1,0,1,2,0
1778,LECA,6,1,1,1,3,3,0
178,LECA,2,0,1,0,1,1,0
1780,LECA,5,1,0,0,4,1,0
1782,LECA,2,1,0,0,1,1,1
1784,Opisthokonta,3,1,1,0,1,2,0
1786,LECA,3,0,1,1,1,2,0
179,LECA,15,2,2,2,9,6,1
1790,LECA,16,4,3,0,9,7,1
1792,LECA,2,0,0,1,1,1,1
1795,Bilateria,4,1,0,1,2,2,0
1796,LECA,4,1,0,1,2,2,0
1799,LECA,7,0,0,0,7,0,0
18,Gnathostomata,3,1,0,0,2,1,0
180,Bilateria,17,6,1,1,9,8,0
1800,Bilateria,2,0,0,1,1,1,0
18009,Gnathostomata,3,0,0,0,3,0,1
