Disease_Association,Most_Haploinsufficient_gene,dNdS
Unknown.Unknown,C,0.0025.0.0029
None.None,C,0.0.0367
Recessive.Both,D,0.0047.0.0408
Unknown.Unknown,C,0.0.0037
None.Unknown,D,0.0.0018
Dominant.Dominant,C,0.0.0009
Unknown.Unknown,C,0.0.0502
Unknown.Unknown,C,0.0005.0.0229
Unknown.Unknown,C,0.0.0039
Dominant.Unknown,C,0.0012.0.0013
None.Unknown,D,0.0.0027
None.Unknown,C,0.0013.0.0023
Unknown.Unknown,D,0.0.0374
Unknown.None,D,0.0015.0.0102
Unknown.Dominant,C,0.0008.0.0065
Unknown.Unknown,D,0.0.0348
None.None,C,0.0053.0.0056
Dominant.Recessive,C,0.0013.0.0043
None.Recessive,D,0.0012.0.0017
Both.Dominant,C,0.0007.0.0012
None.Unknown,D,0.0.0792
Unknown.Unknown,NA,0.002.0.023
Unknown.Unknown,C,0.0022.0.0029
Unknown.Unknown,C,0.0.0078
Unknown.Unknown,C,0.0.002
Unknown.Unknown,C,0.0013.0.0102
Unknown.Unknown,C,0.0029.0.0033
Unknown.Unknown,D,0.0009.0.0292
Unknown.Unknown,C,0.0127.0.0205
Unknown.Unknown,C,0.0.0063
Unknown.Unknown,C,0.0.0065
Recessive.Unknown,C,0.0.0017
Unknown.Unknown,C,0.0023.0.0042
None.Dominant,D,0.0023.0.0097
Unknown.Unknown,C,0.0017.0.0145
Unknown.Unknown,D,0.008.0.0082
Recessive.Recessive,D,0.0036.0.0097
Unknown.None,C,0.0.0057
Unknown.Unknown,C,0.001.0.1819
Unknown.Unknown,C,0.0006.0.0037
Unknown.Unknown,D,0.0019.0.0029
None.Unknown,D,0.0.0105
Unknown.Unknown,C,0.0016.0.0042
None.None,C,0.0024.0.0032
Unknown.Unknown,D,0.0.0266
Unknown.Unknown,C,0.0.003
Unknown.Dominant,D,0.0031.0.0075
Unknown.Unknown,C,0.0025.0.0034
Recessive.Unknown,D,0.0011.0.0012
Unknown.Recessive,D,0.0019.0.0087
Unknown.Both,D,0.0029.0.0177
Unknown.Recessive,D,0.0007.0.0015
Unknown.Unknown,D,0.0036.0.0094
Unknown.Unknown,D,0.0034.0.0075
Unknown.Unknown,C,0.0.0049
Unknown.Unknown,D,0.0.002
Unknown.Unknown,C,0.0.0008
Unknown.Unknown,C,0.0006.0.0392
Dominant.None,C,0.0.012
Dominant.Unknown,C,0.0012.0.0029
Both.Unknown,C,0.0005.0.0153
Dominant.Dominant,D,0.0002.0.0003
Dominant.Unknown,D,0.0013.0.0016
None.Unknown,D,0.0.0091
Unknown.Unknown,D,0.002.0.0034
Dominant.Unknown,D,0.0008.0.0016
Unknown.Unknown,C,0.0.1819
Unknown.None,D,0.0.0066
Dominant.Unknown,C,0.0.0082
Unknown.None,NA,0.0009.0.128
Unknown.None,NA,0.0006.0.0021
Unknown.Unknown,D,0.002.0.0021
Both.Dominant,C,0.0023.0.0033
Dominant.Dominant,D,0.0.0273
None.None,C,0.0013.0.0037
Unknown.Unknown,C,0.0097.0.0277
Unknown.Unknown,D,0.0006.0.0019
Unknown.Recessive,C,0.003.0.0441
Unknown.Unknown,C,0.0205.0.0217
Dominant.Recessive,C,0.0.0226
Unknown.None,NA,0.0063.0.0308
Recessive.Unknown,NA,0.0008.0.0026
Dominant.Recessive,C,0.0013.0.0209
Dominant.Recessive,D,0.0058.0.0064
Recessive.Recessive,C,0.0023.0.024
Unknown.None,D,0.0009.0.0034
Unknown.Unknown,NA,0.0013.0.0015
Unknown.Unknown,C,0.0.0046
None.Recessive,D,0.0018.0.0052
Unknown.None,C,0.0044.0.0064
Unknown.None,NA,0.0063.0.0279
Unknown.Unknown,C,0.0009.0.0234
Unknown.Dominant,D,0.0004.0.0009
Recessive.Unknown,D,0.0006.0.0017
Unknown.Unknown,D,0.0.002
Unknown.Unknown,C,0.0023.0.0035
None.None,C,0.0017.0.0021
Unknown.Unknown,C,0.0.0025
Both.Dominant,C,0.0181.0.0243
Both.Recessive,C,0.0.0049
Unknown.Unknown,C,0.0.0026
Unknown.Recessive,D,0.0008.0.001
Unknown.None,NA,0.0063.0.0279
Unknown.Unknown,D,0.0062.0.0098
Unknown.Recessive,C,0.0.0022
Recessive.Unknown,C,0.0006.0.001
Recessive.Unknown,D,0.0037.0.0082
Unknown.Unknown,D,0.0.1068
Unknown.Unknown,C,0.0.0032
Unknown.Both,D,0.0004.0.0015
Unknown.Unknown,C,0.0011.0.0083
Unknown.Unknown,C,0.0021.0.0024
None.Unknown,D,0.0.0019
Dominant.None,C,0.0008.0.0025
Unknown.Unknown,C,0.0.0015
Unknown.Unknown,C,0.0048.0.0082
Unknown.Unknown,C,0.0.002
Dominant.None,C,0.0028.0.0051
Both.Unknown,C,0.0038.0.0055
Both.Unknown,C,0.004.0.027
Unknown.Unknown,D,0.001.0.0033
Both.Dominant,C,0.0016.0.0017
Unknown.Unknown,D,0.0053.0.0116
Unknown.Unknown,D,0.0024.0.0191
None.Unknown,C,0.0049.0.0053
Dominant.Dominant,C,0.0008.0.0202
Unknown.Both,D,0.0.0028
Unknown.Unknown,C,0.0018.0.0126
Unknown.Unknown,D,0.0023.0.0102
Recessive.Unknown,C,0.0.0024
Unknown.Unknown,D,0.0014.0.0028
Dominant.Unknown,C,0.0.0012
Dominant.Unknown,D,0.0006.0.0015
Unknown.Unknown,C,0.0023.0.0061
Unknown.None,NA,0.0063.0.0306
Unknown.Unknown,C,0.0.0025
None.Unknown,C,0.0.0019
None.Dominant,D,0.0.003
Unknown.Unknown,D,0.0006.0.0017
Recessive.Unknown,C,0.0008.0.0014
Unknown.Unknown,NA,0.0021.0.0048
Unknown.Unknown,C,0.004.0.0054
Unknown.Unknown,C,0.0009.0.0026
Unknown.NA,NA,0.0023.0.0375
Unknown.Unknown,C,0.0008.0.0246
Unknown.Recessive,D,0.0013.0.0022
Unknown.Unknown,C,0.0007.0.0041
None.Unknown,C,0.004.0.0159
Unknown.Dominant,D,0.0044.0.0927
Recessive.None,C,0.0049.0.0188
Unknown.Unknown,C,0.0009.0.0159
Unknown.Recessive,C,0.0.0009
